Method,Description,Worst-case,Optimal
`__len__() <deque.html#extra.lists.deque.Deque.__len_\_>`_,Returns the number of values in the deque.,O(1),O(1)
`append_left() <deque.html#extra.lists.deque.Deque.append_left>`_,Adds new value to the left-side of the deque.,O(1),O(1)
`append_right() <deque.html#extra.lists.deque.Deque.append_right>`_,Adds new value to the right-side of the deque.,O(1),O(1)
`pop_left() <deque.html#extra.lists.deque.Deque.pop_left>`_,Removes value from the left-side of the deque.,O(1),O(1)
`pop_right() <deque.html#extra.lists.deque.Deque.pop_right>`_,Removes value from the right-side of the deque.,O(1),O(1)
`get_left() <deque.html#extra.lists.deque.Deque.get_left>`_,Returns the value at the left-side of the deque.,O(1),O(1)
`get_right() <deque.html#extra.lists.deque.Deque.get_right>`_,Returns the value at the right-side of the deque.,O(1),O(1)
`clear() <deque.html#extra.lists.deque.Deque.clear>`_,Clears the deque.,O(1),O(1)
`is_empty() <deque.html#extra.lists.deque.Deque.is_empty>`_,Checks if the deque is empty.,O(1),O(1)
`is_full() <deque.html#extra.lists.deque.Deque.is_full>`_,Checks if the deque is full.,O(1),O(1)
