Method,Description,Worst-case,Optimal
`__len__() <stack.html#extra.lists.stack.Stack.__len_\_>`_,Returns the number of values in the stack.,O(1),O(1)
`push() <stack.html#extra.lists.stack.Stack.push>`_,Adds new value to the top of the stack.,O(1),O(1)
`pop() <stack.html#extra.lists.stack.Stack.pop>`_,Adds the value from the top of the stack.,O(1),O(1)
`peek() <stack.html#extra.lists.stack.Stack.peek>`_,Returns the value at the top of the stack.,O(1),O(1)
`clear() <stack.html#extra.lists.stack.Stack.clear>`_,Clears the stack.,O(1),O(1)
`is_empty() <stack.html#extra.lists.stack.Stack.is_empty>`_,Checks if the stack is empty.,O(1),O(1)
`is_full() <stack.html#extra.lists.stack.Stack.is_full>`_,Checks if the stack is full.,O(1),O(1)
