Method,Description,Worst-case,Optimal
`__len__() <queue.html#extra.lists.queue.Queue.__len_\_>`_,Returns the number of values in the queue.,O(1),O(1)
`enqueue() <queue.html#extra.lists.queue.Queue.enqueue>`_,Adds new value to the top of the queue.,O(1),O(1)
`dequeue() <queue.html#extra.lists.queue.Queue.dequeue>`_,Adds the value from the top of the queue.,O(1),O(1)
`top() <queue.html#extra.lists.queue.Queue.top>`_,Returns the value at the top of the queue.,O(1),O(1)
`clear() <queue.html#extra.lists.queue.Queue.clear>`_,Clears the queue.,O(1),O(1)
`is_empty() <queue.html#extra.lists.queue.Queue.is_empty>`_,Checks if the queue is empty.,O(1),O(1)
`is_full() <queue.html#extra.lists.queue.Queue.is_full>`_,Checks if the queue is full.,O(1),O(1)
