Method,Description,Worst-case,Optimal
`is_empty() <skip_list.html#extra.lists.skip_list.SkipList.is_empty>`_,Checks if the skip list is empty.,O(1),O(1)
`__len__() <skip_list.html#extra.lists.skip_list.SkipList.__len_\_>`_,Returns the number of skip nodes.,O(1),O(1)
`__repr__() <skip_list.html#extra.lists.skip_list.SkipList.__repr_\_>`_,Represents the skip list as a string.,O(n*h),O(n*h)
`__iter__() <skip_list.html#extra.lists.skip_list.SkipList.__iter_\_>`_,Iterates over the skip list.,O(n),O(n)
`__contains__() <skip_list.html#extra.lists.skip_list.SkipList.__contains_\_>`_,Checks the existence of the given item.,O(log(n)),O(log(n))
`__getitem__() <skip_list.html#extra.lists.skip_list.SkipList.__getitem_\_>`_,Returns the element at a certain index.,O(k),O(k)
`__delitem__() <skip_list.html#extra.lists.skip_list.SkipList.__delitem_\_>`_,Deletes the value at the given index.,O(k),O(k)
`insert() <skip_list.html#extra.lists.skip_list.SkipList.insert>`_,Adds the given item to the instance.,O(k),O(k)
`remove() <skip_list.html#extra.lists.skip_list.SkipList.remove>`_,Removes the given value if found.,O(log(n)),O(log(n))
`clear() <skip_list.html#extra.lists.skip_list.SkipList.clear>`_,Clears the whole skip list.,O(1),O(1)
`to_list() <skip_list.html#extra.lists.skip_list.SkipList.to_list>`_,Converts the skip list to a normal list.,O(n),O(n)
