Method,Description,Worst-case,Optimal
`__len__() <priority_queue.html#extra.lists.priority_queue.PriorityQueue.__len_\_>`_,Returns the number of values in the queue.,O(1),O(1)
`enqueue() <priority_queue.html#extra.lists.priority_queue.PriorityQueue.enqueue>`_,Adds new value to the top of the queue.,O(1),O(1)
`dequeue() <priority_queue.html#extra.lists.priority_queue.PriorityQueue.dequeue>`_,Adds the value from the top of the queue.,O(n),O(n)
`top() <priority_queue.html#extra.lists.priority_queue.PriorityQueue.top>`_,Returns the value at the top of the queue.,O(n),O(n)
`clear() <priority_queue.html#extra.lists.priority_queue.PriorityQueue.clear>`_,Clears the priority queue.,O(1),O(1)
`is_empty() <priority_queue.html#extra.lists.priority_queue.PriorityQueue.is_empty>`_,Checks if the priority queue is empty.,O(1),O(1)
`is_full() <priority_queue.html#extra.lists.priority_queue.PriorityQueue.is_full>`_,Checks if the priority queue is full.,O(1),O(1)
