Method,Description,Worst-case,Optimal
`is_empty() <treap.html#extra.trees.treap.Treap.is_empty>`_,Checks if the treap is empty.,O(1),O(1)
`__len__() <treap.html#extra.trees.treap.Treap.__len_\_>`_,Returns the number of nodes in the treap.,O(1),O(1)
`__repr__() <treap.html#extra.trees.treap.Treap.__repr_\_>`_,Represents the treap as a string.,O(n),O(n)
`__iter__() <treap.html#extra.trees.treap.Treap.__iter_\_>`_,Iterates over the treap.,O(n),O(n)
`__contains__() <treap.html#extra.trees.treap.Treap.__contains_\_>`_,Checks the existence of a given item in the treap.,O(h),O(h)
`get_height() <treap.html#extra.trees.treap.Treap.get_height>`_,Gets the treap's height.,O(n),O(1)
`get_depth() <treap.html#extra.trees.treap.Treap.get_depth>`_,Gets the treap's depth.,O(n),O(1)
`get_nodes_per_level() <treap.html#extra.trees.treap.Treap.get_nodes_per_level>`_,Returns a list of all nodes per level.,O(n),O(n)
`is_balanced() <treap.html#extra.trees.treap.Treap.is_balanced>`_,Checks if the treap is balanced.,O(n),O(1)
`is_perfect() <treap.html#extra.trees.treap.Treap.is_perfect>`_,Checks if the treap is perfect.,O(n),O(1)
`is_strict() <treap.html#extra.trees.treap.Treap.is_strict>`_,Checks if the treap is strict.,O(n),O(1)
`count_leaf_nodes() <treap.html#extra.trees.treap.Treap.count_leaf_nodes>`_,Counts all leaf nodes in the treap.,O(n),O(n)
`clear() <treap.html#extra.trees.treap.Treap.clear>`_,Clears the whole treap.,O(1),O(1)
`to_list() <treap.html#extra.trees.treap.Treap.to_list>`_,Converts the treap instance to list.,O(n),O(n)
`traverse() <treap.html#extra.trees.treap.Treap.traverse>`_,Traverses the treap based on given method.,O(n),O(n)
`preorder_traverse() <treap.html#extra.trees.treap.Treap.preorder_traverse>`_,Traverses the treap in an pre-order manner.,O(n),O(n)
`inorder_traverse() <treap.html#extra.trees.treap.Treap.inorder_traverse>`_,Traverses the treap in an in-order manner.,O(n),O(n)
`postorder_traverse() <treap.html#extra.trees.treap.Treap.postorder_traverse>`_,Traverses the treap in an post-order manner.,O(n),O(n)
`breadth_first_traverse() <treap.html#extra.trees.treap.Treap.breadth_first_traverse>`_,Traverses the treap level by level.,O(n),O(n)
`depth_first_traverse() <treap.html#extra.trees.treap.Treap.depth_first_traverse>`_,Traverses the treap in an pre-order manner.,O(n),O(n)
`get_min() <treap.html#extra.trees.treap.Treap.get_min>`_,Gets the minimum number in the treap.,O(h),O(h)
`get_max() <treap.html#extra.trees.treap.Treap.get_max>`_,Gets the maximum number in the treap.,O(h),O(h)
`insert() <treap.html#extra.trees.treap.Treap.insert>`_,Inserts a certain value to the treap.,O(h),O(h)
`remove() <treap.html#extra.trees.treap.Treap.remove>`_,Removes a certain value from the treap.,O(h),O(h)
